id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_270,GRIST000136,012-205-09,UMF Huamuxtitlán,"2,414",No aplica,No aplica
U_ISSSTE_271,GRIST000433,012-205-10,CAF Malinaltepec,"3,871",No aplica,No aplica
U_ISSSTE_272,GRIST000503,012-205-13,CAF Iliatenco,"1,152",No aplica,No aplica
U_ISSSTE_273,GRIST000153,012-206-00,CH Iguala de la Independencia,"54,778","84,385",No aplica
U_ISSSTE_274,GRIST000030,012-206-01,UMF Ajuchitlán del Progreso,"3,581",No aplica,No aplica
U_ISSSTE_275,GRIST000363,012-206-03,UMF Apaxtla de Castrejón,"1,817",No aplica,No aplica
U_ISSSTE_276,GRIST000042,012-206-04,UMF Arcelia,"7,982",No aplica,No aplica
U_ISSSTE_277,GRIST000380,012-206-05,CAF Buenavista de Cuéllar,777,No aplica,No aplica
U_ISSSTE_278,GRIST000095,012-206-06,UMF Coyuca de Catalán,"4,328",No aplica,No aplica
U_ISSSTE_279,GRIST000404,012-206-07,CAF Cutzamala de Pinzón,"1,348",No aplica,No aplica
U_ISSSTE_280,GRIST000141,012-206-08,UMF Huitzuco de los Figueroa,"6,377",No aplica,No aplica
U_ISSSTE_281,GRIST000276,012-206-09,UMF Teloloapan,"9,453",No aplica,No aplica
U_ISSSTE_282,GRIST000305,012-206-10,UMF Tlapehuala,"2,297",No aplica,No aplica
U_ISSSTE_283,GRIST000491,012-206-12,CAF Zirándaro,689,No aplica,No aplica
U_ISSSTE_284,GRIST000252,012-206-13,UMF Taxco de Alarcón,"11,183",No aplica,No aplica
U_ISSSTE_285,GRIST000194,012-207-00,CMFEQ Ometepec,"23,762","36,034",No aplica
U_ISSSTE_286,GRIST000013,012-208-00,CMF Acapulco,"138,519",No aplica,No aplica
U_ISSSTE_287,GRIST000310,012-208-01,UMF Lic. Adolfo López Mateos,"1,523",No aplica,No aplica
U_ISSSTE_288,GRIST000054,012-208-02,UMF Atoyac de Álvarez,"9,021",No aplica,No aplica
U_ISSSTE_289,GRIST000322,012-208-03,CAF Cd. Renacimiento,"13,585",No aplica,No aplica
U_ISSSTE_290,GRIST000066,012-208-04,UMF Ayutla de los Libres,"7,674",No aplica,No aplica
U_ISSSTE_291,GRIST000083,012-208-05,UMF Coyuca de Benítez,"8,470",No aplica,No aplica
U_ISSSTE_292,GRIST000416,012-208-06,CAF Cruz Grande,"4,424",No aplica,No aplica
U_ISSSTE_293,GRIST000392,012-208-07,UMF Cuajinicuilapa,"2,180",No aplica,No aplica
U_ISSSTE_294,GRIST000240,012-208-10,UMF Las Vigas,"1,437",No aplica,No aplica
U_ISSSTE_295,GRIST000071,012-208-11,UMF Marquelia,"4,371",No aplica,No aplica
U_ISSSTE_296,GRIST000206,012-208-12,UMF Petatlán,"3,709",No aplica,No aplica
U_ISSSTE_297,GRIST000375,012-208-13,CAF San Jerónimo de Juárez,"3,391",No aplica,No aplica
U_ISSSTE_298,GRIST000223,012-208-14,UMF San Luis Acatlán,"4,569",No aplica,No aplica
U_ISSSTE_299,GRIST000235,012-208-15,UMF San Marcos,"3,453",No aplica,No aplica
U_ISSSTE_300,GRIST000474,012-208-16,UMF Tecoanapa,"4,816",No aplica,No aplica
U_ISSSTE_301,GRIST000351,012-208-18,CAF Xaltianguis,"2,334",No aplica,No aplica
U_ISSSTE_302,GRIST000165,012-208-19,UMF Zihuatanejo,"13,943",No aplica,No aplica
U_ISSSTE_303,GRIST000334,012-208-20,CAF UHF. Acapulco,"3,671",No aplica,No aplica
U_ISSSTE_304,GRIST000346,012-208-21,CAF UHF. Vicente Guerrero 200,"1,297",No aplica,No aplica
U_ISSSTE_305,GRIST000211,012-209-00,CMFEQ Cd. Altamirano,"13,528","33,753",No aplica
U_ISSSTE_306,GRIST000264,012-210-00,CMFEQ Técpan de Galeana,"10,861","40,925",No aplica
U_ISSSTE_307,GRIST000293,012-212-00,CMFEQ Tlapa de Comonfort,"30,005","38,466",No aplica
U_ISSSTE_308,HGIST000106,013-204-00,"HG Dra. Columba Rivera Osorio, Pachuca",No aplica,"104,342",No aplica
U_ISSSTE_309,HGIST000065,013-205-00,CH Ixmiquilpan,"23,220","75,348",No aplica
U_ISSSTE_310,HGIST000053,013-205-03,UMF Huichapan,"3,630",No aplica,No aplica
U_ISSSTE_311,HGIST000205,013-205-04,UMF Jacala,"1,758",No aplica,No aplica
U_ISSSTE_312,HGIST000234,013-205-06,CAF Nopala,632,No aplica,No aplica
U_ISSSTE_313,HGIST000275,013-205-08,UMF Tasquillo,"2,354",No aplica,No aplica
U_ISSSTE_314,HGIST000280,013-205-09,UMF Tecozautla,"1,237",No aplica,No aplica
U_ISSSTE_315,HGIST000362,013-205-10,CAF Zimapán,"2,973",No aplica,No aplica
U_ISSSTE_316,HGIST000140,013-206-00,CMF Tulancingo,"31,381",No aplica,No aplica
U_ISSSTE_317,HGIST000292,013-206-02,CAF Tenango de Doria,"5,707",No aplica,No aplica
U_ISSSTE_318,HGIST000041,013-207-00,CH Huejutla de Reyes,"41,917","56,930",No aplica
U_ISSSTE_319,HGIST000193,013-207-01,CAF Huautla,"3,032",No aplica,No aplica
U_ISSSTE_320,HGIST000246,013-207-02,CAF San Felipe Orizatlán,"2,788",No aplica,No aplica
U_ISSSTE_321,HGIST000321,013-207-03,UMF Tlanchinol,"1,912",No aplica,No aplica
U_ISSSTE_322,HGIST000176,013-207-05,CAF Calnali,"1,801",No aplica,No aplica
U_ISSSTE_323,HGIST000094,013-207-06,UMF Molango,"2,913",No aplica,No aplica
U_ISSSTE_324,HGIST000345,013-207-09,CAF Xochicoatlán,602,No aplica,No aplica
U_ISSSTE_325,HGIST000181,013-207-12,CAF Chapulhuacán,730,No aplica,No aplica
U_ISSSTE_326,HGIST000082,013-208-00,CMF Mixquiahuala,"13,625",No aplica,No aplica
U_ISSSTE_327,HGIST000036,013-208-01,UMF Tepatepec,"10,688",No aplica,No aplica
U_ISSSTE_328,HGIST000111,013-208-02,UMF Tepeji del Río,"3,789",No aplica,No aplica
U_ISSSTE_329,HGIST000316,013-208-03,UMF Tezontepec de Aldama,"5,456",No aplica,No aplica
U_ISSSTE_330,HGIST000333,013-208-04,UMF Tlaxcoapan,"6,968",No aplica,No aplica
U_ISSSTE_331,HGIST000135,013-208-05,UMF Tula de Allende,"9,775",No aplica,No aplica
U_ISSSTE_332,HGIST000386,013-210-00,CMFE Pachuca,"164,782","166,093",No aplica
U_ISSSTE_333,HGIST000012,013-210-01,UMF Actopan,"17,819",No aplica,No aplica
U_ISSSTE_334,HGIST000024,013-210-02,UMF Apan,"4,609",No aplica,No aplica
U_ISSSTE_335,HGIST000164,013-210-03,CAF Atotonilco el Grande,"2,651",No aplica,No aplica
U_ISSSTE_336,HGIST000070,013-210-04,UMF Metztitlán,"2,270",No aplica,No aplica
U_ISSSTE_337,HGIST000210,013-210-05,UMF Mineral del Monte,"3,157",No aplica,No aplica
U_ISSSTE_338,HGIST000304,013-210-06,UMF Tepeapulco,"5,523",No aplica,No aplica
U_ISSSTE_339,HGIST000123,013-210-07,UMF Tizayuca,"13,140",No aplica,No aplica
U_ISSSTE_340,HGIST000152,013-210-08,UMF Zacualtipán,"5,818",No aplica,No aplica
U_ISSSTE_341,HGIST000350,013-210-09,CAF Zapotlán de Juárez,"1,311",No aplica,No aplica
U_ISSSTE_342,HGIST000251,013-210-10,CMCT Servicio Geológico Mexicano (Los Arcos),No disponible,No disponible,No disponible
U_ISSSTE_343,HGIST000263,013-210-11,CMCT Pensionados y Jubilados (ISSSTE),No disponible,No disponible,No disponible
U_ISSSTE_344,JCIST000074,014-204-00,"CMF Dr. Arturo Glez, Guadalajara No. 1","70,389",No aplica,No aplica
U_ISSSTE_345,JCIST000161,014-204-01,UMF Ahualulco de Mercado,"3,866",No aplica,No aplica
U_ISSSTE_346,JCIST000016,014-204-02,UMF Ameca,"9,294",No aplica,No aplica
U_ISSSTE_347,JCIST000272,014-204-03,CAF Colotlán,"5,224",No aplica,No aplica
U_ISSSTE_348,JCIST000820,014-204-04,CAF Villa Guerrero,520,No aplica,No aplica
U_ISSSTE_349,JCIST000511,014-204-05,CAF Magdalena,"2,622",No aplica,No aplica
U_ISSSTE_350,JCIST000680,014-204-06,CAF Tala,"3,484",No aplica,No aplica
U_ISSSTE_351,JCIST000342,014-204-07,CMCT Palacio Federal (Guadalajara),No disponible,No disponible,No disponible
U_ISSSTE_352,JCIST000436,014-204-08,CAF Huejúcar,326,No aplica,No aplica
U_ISSSTE_353,JCIST000144,014-204-09,CAF Tequila,"3,145",No aplica,No aplica
U_ISSSTE_354,JCIST000330,014-204-10,CAF Etzatlán,"2,605",No aplica,No aplica
U_ISSSTE_355,JCIST000441,014-204-11,CAF Huejuquilla El Alto,961,No aplica,No aplica
U_ISSSTE_356,JCIST000354,014-204-12,CMCT FSTSE (Guadalajara),No disponible,No disponible,No disponible
U_ISSSTE_357,JCIST000185,014-204-14,CAF El Arenal,"1,113",No aplica,No aplica
U_ISSSTE_358,JCIST000226,014-204-15,CAF Bolaños,"1,123",No aplica,No aplica
U_ISSSTE_359,JCIST000540,014-204-16,CAF Mezquitic,"1,580",No aplica,No aplica
U_ISSSTE_360,JCIST000296,014-204-17,CAF Cuquío,"2,132",No aplica,No aplica
U_ISSSTE_361,JCIST000366,014-205-00,CMF Guadalajara No. 2,"90,073",No aplica,No aplica
U_ISSSTE_362,JCIST000091,014-205-02,UMF Tecolotlán,"2,495",No aplica,No aplica
U_ISSSTE_363,JCIST000050,014-205-04,UMF Cocula,"3,359",No aplica,No aplica
U_ISSSTE_364,JCIST000856,014-205-09,CAF UHF. Estatuto Jurídico Tuzania,"29,408",No aplica,No aplica
U_ISSSTE_365,JCIST000371,014-205-10,CAF UH. FOVISSSTE Miravalle,"15,502",No aplica,No aplica
U_ISSSTE_366,JCIST000383,014-205-11,CMCT Secretaría de Educación del Estado de Jalisco-SEP,No disponible,No disponible,No disponible
U_ISSSTE_367,JCIST000156,014-205-15,CAF Acatlán de Juárez,"2,621",No aplica,No aplica
U_ISSSTE_368,JCIST000651,014-205-16,CAF San Martín Hidalgo,"1,362",No aplica,No aplica
U_ISSSTE_369,JCIST000844,014-205-19,CAF Zacoalco de Torres,"2,055",No aplica,No aplica
U_ISSSTE_370,JCIST000885,014-205-20,CMCT SAT,No disponible,No disponible,No disponible
U_ISSSTE_371,JCIST000890,014-205-21,CMCT TFJA,No disponible,No disponible,No disponible
U_ISSSTE_372,JCIST000901,014-205-22,CAF Guachinango,304,No aplica,No aplica
U_ISSSTE_373,JCIST000931,014-205-24,CMCT Sindicato Nacional de Trabajadores de la Secretaría de Salud,No disponible,No disponible,No disponible
U_ISSSTE_374,JCIST000395,014-206-00,CMF Guadalajara No. 3,"49,767",No aplica,No aplica
U_ISSSTE_375,JCIST000465,014-206-01,UMF Atequiza,"5,725",No aplica,No aplica
U_ISSSTE_376,JCIST000301,014-206-02,CAF Chapala,"2,748",No aplica,No aplica
U_ISSSTE_377,JCIST000494,014-206-03,CAF Jocotepec,"2,512",No aplica,No aplica
U_ISSSTE_378,JCIST000033,014-206-04,UMF La Barca,"8,685",No aplica,No aplica
U_ISSSTE_379,JCIST000564,014-206-05,UMF Ocotlán,"9,865",No aplica,No aplica
U_ISSSTE_380,JCIST000861,014-206-06,CAF Zapotlanejo,"3,816",No aplica,No aplica
U_ISSSTE_381,JCIST000190,014-206-07,CAF Atotonilco el Alto,"3,257",No aplica,No aplica
U_ISSSTE_382,JCIST000115,014-206-08,UMF Tepatitlán de Morelos,"9,141",No aplica,No aplica
U_ISSSTE_383,JCIST000622,014-206-09,CAF El Salto,"4,247",No aplica,No aplica
U_ISSSTE_384,JCIST000750,014-206-11,UMF San Martín de las Flores,"4,807",No aplica,No aplica
U_ISSSTE_385,JCIST000733,014-206-12,CAF Tizapán el Alto,"1,699",No aplica,No aplica
U_ISSSTE_386,JCIST000173,014-206-13,CAF Arandas,"4,790",No aplica,No aplica
U_ISSSTE_387,JCIST000202,014-206-14,CAF Ayotlán,"1,208",No aplica,No aplica
U_ISSSTE_388,JCIST000400,014-206-15,CMCT SNTE (Guadalajara),No disponible,No disponible,No disponible
U_ISSSTE_389,JCIST000593,014-206-17,CAF Poncitlán,"2,357",No aplica,No aplica
U_ISSSTE_390,JCIST000482,014-206-18,CAF Jesús María,611,No aplica,No aplica
U_ISSSTE_391,JCIST000832,014-206-19,UMF Yahualica de González Gallo,"3,973",No aplica,No aplica
U_ISSSTE_392,JCIST000745,014-206-21,CMCT SAGARPA (El Álamo),No disponible,No disponible,No disponible
U_ISSSTE_393,JCIST000313,014-206-23,CAF Degollado,748,No aplica,No aplica
U_ISSSTE_394,JCIST000424,014-206-27,CAF UHF. Unidad Modelo,"4,341",No aplica,No aplica
U_ISSSTE_395,JCIST000506,014-207-00,CMF Lagos de Moreno,"13,867",No aplica,No aplica
U_ISSSTE_396,JCIST000325,014-207-01,CAF Encarnación de Díaz,"1,534",No aplica,No aplica
U_ISSSTE_397,JCIST000470,014-207-02,CAF Jalostotitlán,"1,566",No aplica,No aplica
U_ISSSTE_398,JCIST000576,014-207-03,CAF Ojuelos de Jalisco,"2,004",No aplica,No aplica
U_ISSSTE_399,JCIST000634,014-207-04,CAF San Juan de los Lagos,"2,663",No aplica,No aplica
U_ISSSTE_400,JCIST000663,014-207-05,UMF San Miguel el Alto,"1,347",No aplica,No aplica
U_ISSSTE_401,JCIST000103,014-207-06,UMF Teocaltiche,"3,016",No aplica,No aplica
U_ISSSTE_402,JCIST000646,014-207-07,CAF San Julián,"1,440",No aplica,No aplica
U_ISSSTE_403,JCIST000045,014-208-00,CH Cd. Guzmán,"24,785","41,294",No aplica
U_ISSSTE_404,JCIST000791,014-208-01,UMF Tuxpan,"2,977",No aplica,No aplica
U_ISSSTE_405,JCIST000721,014-208-02,CAF Tecalitlán,948,No aplica,No aplica
U_ISSSTE_406,JCIST000704,014-208-03,CAF Tamazula de Gordiano,"2,093",No aplica,No aplica
U_ISSSTE_407,JCIST000535,014-208-04,CAF Mazamitla,"1,757",No aplica,No aplica
U_ISSSTE_408,JCIST000716,014-208-05,CAF Tapalpa,"1,169",No aplica,No aplica
U_ISSSTE_409,JCIST000675,014-208-08,CAF Sayula,"4,281",No aplica,No aplica
U_ISSSTE_410,JCIST000815,014-208-09,CAF San Gabriel,576,No aplica,No aplica
U_ISSSTE_411,JCIST000021,014-209-00,CMF Autlán de Navarro,"9,609",No aplica,No aplica
U_ISSSTE_412,JCIST000214,014-209-01,CAF Ayutla,794,No aplica,No aplica
U_ISSSTE_413,JCIST000062,014-209-02,UMF El Grullo,"2,708",No aplica,No aplica
U_ISSSTE_414,JCIST000453,014-209-03,UMF La Huerta,"1,522",No aplica,No aplica
U_ISSSTE_415,JCIST000925,014-209-04,UMF Unión de Tula,"1,527",No aplica,No aplica
U_ISSSTE_416,JCIST000255,014-209-07,CAF Cihuatlán,473,No aplica,No aplica
U_ISSSTE_417,JCIST000610,014-209-12,CAF Villa Purificación,632,No aplica,No aplica
U_ISSSTE_418,JCIST000260,014-209-13,CAF San Patricio Melaque,558,No aplica,No aplica
U_ISSSTE_419,JCIST000243,014-209-14,CAF Casimiro Castillo,978,No aplica,No aplica
U_ISSSTE_420,JCIST000284,014-209-15,CAF Cuautitlán,"1,083",No aplica,No aplica
U_ISSSTE_421,JCIST000086,014-210-00,CH Puerto Vallarta,"26,369","35,504",No aplica
U_ISSSTE_422,JCIST000120,014-210-01,UMF Tomatlán,"3,489",No aplica,No aplica
U_ISSSTE_423,JCIST000762,014-210-02,CAF Tomatlán Campamento SAGARPA,90,No aplica,No aplica
U_ISSSTE_424,JCIST000231,014-210-04,CAF El Tuito,369,No aplica,No aplica
U_ISSSTE_425,JCIST000692,014-210-05,CAF Talpa de Allende,805,No aplica,No aplica
U_ISSSTE_426,JCIST000523,014-210-06,UMF Mascota,"1,569",No aplica,No aplica
U_ISSSTE_427,JCIST000873,014-213-00,CEQ Guadalajara,No disponible,No disponible,No disponible
U_ISSSTE_428,PENDIENTE,014-219-00,"HG Dr. Valentín Gómez Farías, Zapopan",No aplica,"392,970",No aplica
U_ISSSTE_429,MCIST000215,015-204-00,HG Toluca,No aplica,"246,159",No aplica
U_ISSSTE_430,MCIST000075,015-205-00,CMF Ecatepec de Morelos,"105,338",No aplica,No aplica
U_ISSSTE_431,MCIST000174,015-205-01,UMF San Juan Teotihuacán,"10,503",No aplica,No aplica
U_ISSSTE_432,MCIST000220,015-205-02,UMF Zumpango de Ocampo,"14,159",No aplica,No aplica
U_ISSSTE_433,MCIST000010,015-205-03,UMF Tepexpan,"13,735",No aplica,No aplica
U_ISSSTE_434,MCIST000396,015-205-04,CAF UH. FOVISSSTE Ecatepec de Morelos,"1,820",No aplica,No aplica
U_ISSSTE_435,MCIST000116,015-206-00,CMF Valle de Aragón,"100,169",No aplica,No aplica
U_ISSSTE_436,MCIST000355,015-207-00,CMF Satélite Naucalpan,"63,600",No aplica,No aplica
U_ISSSTE_437,MCIST000203,015-208-00,CMF Tlalnepantla,"98,028",No aplica,No aplica
U_ISSSTE_438,MCIST000186,015-210-00,CMF Texcoco de Mora,"76,996",No aplica,No aplica
U_ISSSTE_439,MCIST000022,015-210-01,UMF Amecameca de Juárez,"19,784",No aplica,No aplica
U_ISSSTE_440,MCIST000051,015-210-02,UMF Chalco de Díaz Covarrubias,"112,667",No aplica,No aplica
U_ISSSTE_441,MCIST000063,015-211-00,CMFEQ Xalostoc,"91,432","91,432",No aplica
U_ISSSTE_442,MCIST000401,015-213-00,CMF Nueva Oxtotitlán,"124,689",No aplica,No aplica
U_ISSSTE_443,MCIST000034,015-213-02,UMF Atlacomulco de Fabela,"19,025",No aplica,No aplica
U_ISSSTE_444,MCIST000290,015-213-03,CAF Ixtapan de la Sal,"4,097",No aplica,No aplica
U_ISSSTE_445,MCIST000080,015-213-04,UMF Ixtlahuaca de Rayón,"12,164",No aplica,No aplica
U_ISSSTE_446,MCIST000092,015-213-05,UMF Jilotepec de Abasolo,"9,279",No aplica,No aplica
U_ISSSTE_447,MCIST000162,015-213-06,UMF Tenancingo de Degollado,"12,819",No aplica,No aplica
U_ISSSTE_448,MCIST000133,015-213-08,UMF Polotitlán de Ilustración,"1,049",No aplica,No aplica
U_ISSSTE_449,MCIST000145,015-213-09,UMF San Felipe del Progreso,"7,111",No aplica,No aplica
U_ISSSTE_450,MCIST000191,015-213-10,UMF Santiago Tianguistengo,"7,787",No aplica,No aplica
U_ISSSTE_451,MCIST000273,015-213-11,CAF San Pedro Limón,"1,638",No aplica,No aplica
U_ISSSTE_452,MCIST000150,015-213-12,UMF Tejupilco de Hidalgo,"9,564",No aplica,No aplica
U_ISSSTE_453,MCIST000413,015-213-13,CAF Texcaltitlán,"2,427",No aplica,No aplica
U_ISSSTE_454,MCIST000471,015-213-14,CAF Valle de Bravo,"6,396",No aplica,No aplica
U_ISSSTE_455,MCIST000104,015-213-16,UMF Lerma de Villada (Villa Carmela),"14,394",No aplica,No aplica
U_ISSSTE_456,MCIST000256,015-213-17,CAF Villa Cuauhtémoc,"9,056",No aplica,No aplica
U_ISSSTE_457,MCIST000121,015-213-18,UMF San Jerónimo Acazulco,"3,043",No aplica,No aplica
U_ISSSTE_458,MCIST000046,015-213-19,UMF Capulhuac de Mirafuentes,"1,621",No aplica,No aplica
U_ISSSTE_459,MCIST000244,015-213-20,CMCT SAGARPA (Zinacantepec),No disponible,No disponible,No disponible
U_ISSSTE_460,PENDIENTE,015-213-23,CMCT Delegación del ISSSTE en el Estado de México,No disponible,No disponible,No disponible
U_ISSSTE_461,MCIST000454,015-213-24,CMCT Conalep,No disponible,No disponible,No disponible
U_ISSSTE_462,MCIST000384,015-214-00,CMF Pantitlán,"101,150",No aplica,No aplica
U_ISSSTE_463,MCIST000442,015-216-00,CMF Cuautitlán Izcalli,"41,135",No aplica,No aplica
U_ISSSTE_464,MCIST000331,015-216-01,CAF Cuautitlán de Romero Rubio,"33,456",No aplica,No aplica
U_ISSSTE_465,MCIST000326,015-216-02,CAF Villa Nicolás Romero,"17,903",No aplica,No aplica
U_ISSSTE_466,MCIST000483,015-219-00,CMFEQ Héroes Tecámac,"32,516","32,516",No aplica
U_ISSSTE_467,MCIST000495,015-220-00,CMFEQ Juana Belén Gutiérrez de Mendoza,"27,783","27,783",No aplica
U_ISSSTE_468,MNIST000202,016-205-00,CH Uruapan del Progreso,"52,435","72,493",No aplica
U_ISSSTE_469,MNIST000366,016-205-02,CAF Gabriel Zamora,"2,650",No aplica,No aplica
U_ISSSTE_470,MNIST000552,016-205-05,CAF Tingambato,"4,405",No aplica,No aplica
U_ISSSTE_471,MNIST000330,016-205-06,CAF Cherán,"1,756",No aplica,No aplica
U_ISSSTE_472,MNIST000441,016-205-07,CAF Nahuatzen,"3,121",No aplica,No aplica
U_ISSSTE_473,MNIST000465,016-205-08,UMF Paracho de Verduzco,"8,126",No aplica,No aplica
U_ISSSTE_474,PENDIENTE,016-205-09,CAF Nuevo Parangaricutiro,No disponible,No disponible,No disponible
U_ISSSTE_475,MNIST000016,016-206-00,CH Apatzingán de la Constitución,"27,828","40,936",No aplica
U_ISSSTE_476,MNIST000243,016-206-01,CAF Aguililla,"1,006",No aplica,No aplica
U_ISSSTE_477,MNIST000284,016-206-02,CAF Coalcomán de Matamoros,957,No aplica,No aplica
U_ISSSTE_478,MNIST000540,016-206-03,UMF Tepalcatepec,"1,384",No aplica,No aplica
U_ISSSTE_479,MNIST000132,016-206-04,UMF Nueva Italia de Ruiz,"7,426",No aplica,No aplica
U_ISSSTE_480,MNIST000062,016-206-07,UMF La Huacana,"3,232",No aplica,No aplica
U_ISSSTE_481,MNIST000156,016-207-00,CMF La Piedad de Cabadas,"18,951",No aplica,No aplica
U_ISSSTE_482,MNIST000255,016-207-01,CAF Angamacútiro de la Unión,593,No aplica,No aplica
U_ISSSTE_483,MNIST000675,016-207-02,CAF Pastor Ortíz,"1,034",No aplica,No aplica
U_ISSSTE_484,MNIST000470,016-207-03,CAF Penjamillo de Degollado,241,No aplica,No aplica
U_ISSSTE_485,MNIST000535,016-207-04,CAF Tanhuato de Guerrero,"1,101",No aplica,No aplica
U_ISSSTE_486,MNIST000646,016-207-05,CAF Yurécuaro No. 1,"1,865",No aplica,No aplica
U_ISSSTE_487,MNIST000231,016-208-00,CH Zitácuaro,"35,530","59,872",No aplica
U_ISSSTE_488,MNIST000260,016-208-01,CAF Angangueo,"1,050",No aplica,No aplica
U_ISSSTE_489,MNIST000605,016-208-07,CAF Tuxpan,"2,436",No aplica,No aplica
U_ISSSTE_490,MNIST000050,016-208-09,UMF Cd. Hidalgo,"10,743",No aplica,No aplica
U_ISSSTE_491,MNIST000074,016-208-10,UMF Huetamo de Nuñez ,"10,113",No aplica,No aplica
U_ISSSTE_492,MNIST000226,016-209-00,CH Zamora,"29,953","69,864",No aplica
U_ISSSTE_493,MNIST000325,016-209-01,CAF Cotija de la Paz,739,No aplica,No aplica
U_ISSSTE_494,MNIST000045,016-209-02,UMF Chilchota,"6,615",No aplica,No aplica
U_ISSSTE_495,MNIST000395,016-209-03,CAF Ixtlán de los Herbores,91,No aplica,No aplica
U_ISSSTE_496,MNIST000173,016-209-04,UMF Los Reyes de Salgado,"6,973",No aplica,No aplica
U_ISSSTE_497,MNIST000482,016-209-05,CAF Purépero,988,No aplica,No aplica
U_ISSSTE_498,MNIST000523,016-209-06,CAF Tangancícuaro de Arista,"1,453",No aplica,No aplica
U_ISSSTE_499,MNIST000634,016-209-07,CAF Vista Hermosa de Negrete,894,No aplica,No aplica
U_ISSSTE_500,MNIST000144,016-210-00,CH Pátzcuaro,"28,890","41,110",No aplica
U_ISSSTE_501,MNIST000342,016-210-01,CAF Churumuco de Morelos,60,No aplica,No aplica
U_ISSSTE_502,MNIST000506,016-210-03,CAF Quiroga,950,No aplica,No aplica
U_ISSSTE_503,MNIST000593,016-210-04,CAF Puruarán,557,No aplica,No aplica
U_ISSSTE_504,MNIST000511,016-210-05,CAF Villa Escalante (Santa Clara),343,No aplica,No aplica
U_ISSSTE_505,MNIST000190,016-210-06,UMF Tacámbaro de Codallos,"7,953",No aplica,No aplica
U_ISSSTE_506,MNIST000021,016-210-07,UMF Ario de Rosales,"2,417",No aplica,No aplica
U_ISSSTE_507,MNIST000185,016-211-00,CH Sahuayo,"9,336","18,046",No aplica
U_ISSSTE_508,MNIST000086,016-211-01,UMF Jiquilpan de Juárez,"5,440",No aplica,No aplica
U_ISSSTE_509,MNIST000453,016-211-02,CAF Pajacuarán,"1,003",No aplica,No aplica
U_ISSSTE_510,MNIST000412,016-211-03,CAF San José de Gracia,812,No aplica,No aplica
U_ISSSTE_511,MNIST000622,016-211-04,CAF Venustiano Carranza,"1,455",No aplica,No aplica
U_ISSSTE_512,MNIST000103,016-212-00,"CH R. Flores Magón, Lázaro Cárdenas","31,714","37,013",No aplica
U_ISSSTE_513,MNIST000033,016-212-01,UMF Arteaga,"5,299",No aplica,No aplica
U_ISSSTE_514,MNIST000115,016-212-04,UMF El Ranchito,"2,315",No aplica,No aplica
U_ISSSTE_515,MNIST000214,016-213-00,CH Zacapu,"14,251","18,171",No aplica
U_ISSSTE_516,MNIST000301,016-213-01,CAF Coeneo de la Libertad,"2,265",No aplica,No aplica
U_ISSSTE_517,MNIST000383,016-213-02,CAF Huaniqueo,28,No aplica,No aplica
U_ISSSTE_518,MNIST000424,016-214-00,CMF Morelia,"218,382",No aplica,No aplica
U_ISSSTE_519,MNIST000313,016-214-01,CAF Contepec,673,No aplica,No aplica
U_ISSSTE_520,MNIST000091,016-214-02,UMF Maravatío de Ocampo,"10,492",No aplica,No aplica
U_ISSSTE_521,MNIST000161,016-214-03,UMF Puruándiro,"4,717",No aplica,No aplica
U_ISSSTE_522,MNIST000494,016-214-04,CAF Queréndaro,"1,188",No aplica,No aplica
U_ISSSTE_523,MNIST000576,016-214-05,CAF Tlalpujahua,940,No aplica,No aplica
U_ISSSTE_524,MNIST000436,016-214-06,CAF Villa Morelos,502,No aplica,No aplica
U_ISSSTE_525,MNIST000663,016-214-08,CAF Zinapécuaro de Figueroa,"3,131",No aplica,No aplica
U_ISSSTE_526,MNIST000354,016-214-09,CAF Epitacio Huerta,257,No aplica,No aplica
U_ISSSTE_527,MNIST000371,016-214-10,CAF Huandacareo,952,No aplica,No aplica
U_ISSSTE_528,PENDIENTE,016-214-11,CAF Acuitzio,No disponible,No disponible,No disponible
U_ISSSTE_529,PENDIENTE,016-214-12,CAF Cuitzeo,No disponible,No disponible,No disponible
U_ISSSTE_530,PENDIENTE,016-214-13,CMCT SEP (Morelia),No disponible,No disponible,No disponible
U_ISSSTE_531,MSIST000025,017-205-00,"CH Dr. Rafael Barba Ocampo, Cuautla","47,048","97,680",No aplica
U_ISSSTE_532,MSIST000071,017-205-01,UMF Jonacatepec,"5,471",No aplica,No aplica
U_ISSSTE_533,MSIST000211,017-205-02,CAF Tepalcingo,"4,118",No aplica,No aplica
U_ISSSTE_534,MSIST000252,017-205-03,CAF Tlayacapan,"3,055",No aplica,No aplica
U_ISSSTE_535,MSIST000141,017-205-04,CAF Cd. Ayala,"8,149",No aplica,No aplica
U_ISSSTE_536,MSIST000112,017-205-05,UMF Yautepec,"9,991",No aplica,No aplica
U_ISSSTE_537,MSIST000276,017-205-06,UMF Yecapixtla,"4,908",No aplica,No aplica
U_ISSSTE_538,MSIST000281,017-205-07,CAF Zacualpan de Amilpas,"6,541",No aplica,No aplica
U_ISSSTE_539,MSIST000235,017-205-08,CAF Tetela del Volcán,"1,511",No aplica,No aplica
