id_unidad,clues,clave_presupuestal,nombre_corto,consultorio_medicina_general_o_familiar,consultorio_especialidad,consultorio_odontologia,consultorio_urgencias,consultorio_otros,consultorio_total,laboratorio_analisis_clinicos,laboratorio_areas_criticas,laboratorio_central,laboratorio_patologico,laboratorio_pruebas_especiales,laboratorio_urgencias,laboratorio_total,sala_urgencias,sala_expulsion,sala_dialisis,sala_hemodialisis,sala_cuidados_intensivos,sala_unidad_de_quemados,sala_patologia,sala_hemodinamia,sala_quimioterapia,sala_total,banco_leche,banco_sangre,quirofano,farmacia,stock_farmacia
U_ISSSTE_32,BSIST000026,003-205-06,UMF Villa Insurgentes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_33,BSIST000154,003-205-07,CAF Ignacio Zaragoza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_34,BSIST000043,003-206-00,CH Santa Rosalía,3,3,1,1,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
U_ISSSTE_35,BSIST000171,003-206-01,CAF Bahía Asunción,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_36,BSIST000183,003-206-02,CAF Bahía Tortugas,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_37,BSIST000055,003-206-03,UMF Guerrero Negro,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_38,BSIST000195,003-206-04,CAF Mulegé,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_39,BSIST000200,003-206-05,CAF Punta Abreojos,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_40,BSIST000212,003-206-06,CAF San Ignacio,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_41,BSIST000060,003-206-07,UMF Sebastián Vizcaíno,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_42,BSIST000330,003-207-00,HG La Paz,0,26,0,3,1,30,1,0,0,1,0,0,2,2,1,1,1,2,0,1,1,1,10,0,1,3,1,0
U_ISSSTE_43,BSIST000270,003-207-02,CAF El Pescadero,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_44,BSIST000265,003-207-03,"CAF UH. FOVISSSTE Catra, La Paz.",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_45,BSIST000294,003-207-04,CAF La Ribera,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_46,BSIST000241,003-207-05,CAF Los Barriles,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_47,BSIST000306,003-207-06,CAF San Antonio,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_48,BSIST000282,003-207-07,CAF Miraflores,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_49,BSIST000236,003-207-09,CAF San Juan de los Planes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_50,BSIST000311,003-207-10,CAF Santiago,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_51,BSIST000084,003-207-11,UMF Todos Santos,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_52,BSIST000224,003-207-12,"CAF UH. FOVISSSTE Cihuatán Costa Azul, La Paz",1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_53,BSIST000253,003-207-13,CAF Las Pocitas,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_54,BSIST000101,003-208-00,CH San José del Cabo,4,7,1,1,6,19,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,5,0,0,1,1,0
U_ISSSTE_55,BSIST000321,003-209-00,CMF La Paz,12,2,2,0,6,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_56,BSIST000352,003-211-00,CH Cabo San Lucas,11,8,1,3,3,26,1,0,0,1,0,0,2,1,1,1,1,0,0,1,0,0,5,0,1,1,1,0
U_ISSSTE_57,CCIST000021,004-204-00,"CH Dr. Patricio Trueba Regil, Camp.",10,14,1,2,3,30,1,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,3,0,0,2,1,0
U_ISSSTE_58,CCIST000016,004-204-01,UMF Calkiní,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_59,CCIST000086,004-204-02,CAF Candelaria,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_60,CCIST000045,004-204-03,UMF Champotón,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_61,CCIST000074,004-204-04,UMF Escárcega,3,0,1,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_62,CCIST000050,004-204-05,UMF Hecelchakán,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_63,CCIST000062,004-204-06,UMF Hopelchén,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_64,CCIST000091,004-204-07,CAF Seybaplaya,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_65,CCIST000115,004-204-08,CAF Tenabo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_66,CCIST000033,004-205-00,CH Cd. del Carmen,3,3,1,1,0,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
U_ISSSTE_67,CCIST000103,004-205-01,CAF Palizada,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_68,CLIST000065,005-206-00,CH Monclova,5,8,1,1,2,17,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,0,0,1,1,0
U_ISSSTE_69,CLIST000210,005-206-01,CAF Castaños,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_70,CLIST000036,005-206-02,UMF Cuatrociénegas de Carranza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_71,CLIST000321,005-206-03,CAF La Esmeralda,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_72,CLIST000251,005-206-04,CAF Ocampo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_73,CLIST000304,005-206-05,CAF San Buenaventura,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_74,CLIST000094,005-207-00,CH Piedras Negras,3,4,1,1,0,9,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,0,0,1,1,0
U_ISSSTE_75,CLIST000024,005-207-01,UMF Cd. Allende,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
U_ISSSTE_76,CLIST000135,005-207-03,UMF Zaragoza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_77,CLIST000012,005-208-00,CMF Cd. Acuña,2,3,1,0,2,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_78,CLIST000193,005-209-00,"CH Dr. Francisco Z Cruz, Nueva Rosita",3,4,1,1,1,10,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0
U_ISSSTE_79,CLIST000070,005-209-01,UMF Cd. Melchor Muzquiz,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_80,CLIST000181,005-210-00,"CH Dra. Esperanza Flores Alvarado, Cd. Sabinas",2,6,1,1,1,11,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0
U_ISSSTE_81,CLIST000111,005-211-00,CH San Pedro de las Colonias,2,6,1,1,3,13,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,0,1,1,1,0
U_ISSSTE_82,CLIST000041,005-211-01,UMF Francisco I. Madero,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_83,CLIST000140,005-216-00,CMFEQ Torreón,13,8,2,0,1,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
U_ISSSTE_84,CLIST000053,005-216-01,UMF Matamoros,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_85,CLIST000333,005-220-00,HG Saltillo,1,24,0,3,3,31,1,0,0,1,0,0,2,1,1,1,1,2,0,1,1,1,9,0,1,3,1,0
U_ISSSTE_86,CLIST000222,005-220-01,CAF General Cepeda,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_87,CLIST000275,005-220-02,CAF UH. FOVISSSTE Chapultepec,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_88,CLIST000292,005-220-05,CAF UHF. Lomas del Bosque,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_89,CLIST000263,005-220-06,CAF Ramos Arizpe,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_90,CLIST000082,005-220-07,UMF Parras de la Fuente,5,0,1,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_91,CLIST000106,005-221-00,CMF Saltillo,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_92,CMIST000010,006-204-00,"CH Dr. Miguel Trejo Ochoa, Colima",10,14,1,2,2,29,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,4,0,0,2,1,0
U_ISSSTE_93,CMIST000046,006-204-01,CAF Armería,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_94,CMIST000051,006-204-02,CAF Minatitlán,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_95,CMIST000034,006-204-03,UMF Tecomán,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_96,CMIST000022,006-205-00,CH Manzanillo,3,4,1,1,2,11,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0
U_ISSSTE_97,CSIST000251,007-204-00,"HG Dr. Belisario Domínguez, Tuxtla Gutiérrez.",0,27,1,3,7,38,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,5,0,0,4,1,0
U_ISSSTE_98,CSIST000210,007-205-00,"CH Dr. Roberto Nettel F., Tapachula",5,10,1,1,6,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3,0,0,1,1,0
U_ISSSTE_99,CSIST000041,007-205-01,UMF Cacahoatán,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_100,CSIST000205,007-205-02,UMF Cd. Hidalgo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
