id_unidad,clues,clave_presupuestal,nombre_corto,camas_censables_adultos_cirugia,camas_censables_adultos_medicina_interna,camas_censables_adultos_gineco_obstetricia,camas_censables_adultos_total,camas_censables_pediatria_camas,camas_censables_pediatria_cunas,camas_censables_pediatria_incubadoras,camas_censables_pediatria_total,camas_censables_total,camas_transito_urgencias_adultos,camas_transito_urgencias_pediatria,camas_transito_trabajo_de_parto,camas_transito_cuidados_intensivos,camas_transito_recuperacion,camas_transito_cunas,camas_transito_otras,camas_transito_total
U_ISSSTE_69,CLIST000210,005-206-01,CAF Castaños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_70,CLIST000036,005-206-02,UMF Cuatrociénegas de Carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_71,CLIST000321,005-206-03,CAF La Esmeralda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_72,CLIST000251,005-206-04,CAF Ocampo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_73,CLIST000304,005-206-05,CAF San Buenaventura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_74,CLIST000094,005-207-00,CH Piedras Negras,4,6,3,13,4,0,0,4,17,3,1,1,0,0,0,0,5
U_ISSSTE_75,CLIST000024,005-207-01,UMF Cd. Allende,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_76,CLIST000135,005-207-03,UMF Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_77,CLIST000012,005-208-00,CMF Cd. Acuña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
U_ISSSTE_78,CLIST000193,005-209-00,"CH Dr. Francisco Z Cruz, Nueva Rosita",3,3,2,8,1,1,0,2,10,3,2,1,0,1,0,3,10
U_ISSSTE_79,CLIST000070,005-209-01,UMF Cd. Melchor Muzquiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_80,CLIST000181,005-210-00,"CH Dra. Esperanza Flores Alvarado, Cd. Sabinas",3,4,1,8,2,0,0,2,10,3,0,1,0,2,3,3,12
U_ISSSTE_81,CLIST000111,005-211-00,CH San Pedro de las Colonias,2,5,3,10,2,0,0,2,12,5,3,1,0,0,1,0,10
U_ISSSTE_82,CLIST000041,005-211-01,UMF Francisco I. Madero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
