id_unidad,clues,clave_presupuestal,nombre_corto,personal_medico_general_familiar,personal_medico_gineco_obstetra,personal_medico_pediatra,personal_medico_odontologo,personal_medico_cirujano,personal_medico_internista,personal_medico_anestesiologo,personal_medico_geriatra,personal_medico_oncologos,personal_medico_traumatologia_y_ortopedia,personal_medico_otras_especialidades,personal_medico_otras_labores,personal_medico_etapa_aprendizaje_residentes,personal_medico_etapa_aprendizaje_internos,personal_medico_etapa_aprendizaje_pasantes,personal_medico_total,personal_enfermeria_general,personal_enfermeria_especialista,personal_enfermeria_auxiliar,personal_enfermeria_pasante,personal_enfermeria_total,personal_paramedico_laboratorista,personal_paramedico_rayos_x,personal_paramedico_quimicos,personal_paramedico_trabajo_social,personal_paramedico_otros,personal_paramedico_total,personal_administrativo,personal_servicios_generales,personal_total
U_ISSSTE_19,BCIST000105,002-206-04,CAF San Vicente,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_20,BCIST000110,002-206-05,CAF Valle de la Trinidad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_21,BCIST000122,002-206-08,CAF El Rosario,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_22,BCIST000146,002-208-00,CMF Mesa de Otay,11,0,0,2,0,0,0,0,0,0,1,3,0,0,0,17,4,0,12,0,16,2,2,1,0,7,12,23,1,69
U_ISSSTE_23,BCIST000093,002-209-00,"HG Fray Junípero Serra, Tijuana",29,9,10,5,11,11,10,1,2,8,33,13,0,0,0,142,63,43,54,0,160,14,10,8,0,50,82,92,52,528
U_ISSSTE_24,BCIST000134,002-209-01,CAF Rosarito,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_25,BCIST000081,002-209-02,UMF Tecate,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,7,0,8,0,0,0,0,0,0,8,0,25
U_ISSSTE_26,BSIST000014,003-205-00,CH Cd. Constitución,19,5,6,1,3,3,5,0,0,3,3,8,0,0,0,56,22,6,36,0,64,7,6,1,0,9,23,23,19,185
U_ISSSTE_27,BSIST000113,003-205-01,UMF Loreto,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,1,0,10,0,11,0,0,0,0,0,0,12,0,32
U_ISSSTE_28,BSIST000130,003-205-02,CAF Puerto Adolfo López Mateos,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
