id_unidad,clues,clave_presupuestal,nombre_corto,servicio_medicina_general,servicio_gineco_obstetria,servicio_pediatria,servicio_geriatria,servicio_oncologia,servicio_traumatologia_ortopedia,servicio_odontologia,servicio_urgencias,servicio_hemodialisis,servicio_hemodinamia,servicio_quimioterapia,servicio_banco_sangre,servicio_rayos_x,servicio_quirofano,servicio_farmacia
U_ISSSTE_30,BSIST000166,003-205-04,CAF San Isidro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_31,BSIST000142,003-205-05,CAF San José de Comondú,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_32,BSIST000026,003-205-06,UMF Villa Insurgentes,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_33,BSIST000154,003-205-07,CAF Ignacio Zaragoza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_34,BSIST000043,003-206-00,CH Santa Rosalía,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_35,BSIST000171,003-206-01,CAF Bahía Asunción,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_36,BSIST000183,003-206-02,CAF Bahía Tortugas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_37,BSIST000055,003-206-03,UMF Guerrero Negro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_38,BSIST000195,003-206-04,CAF Mulegé,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_39,BSIST000200,003-206-05,CAF Punta Abreojos,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_40,BSIST000212,003-206-06,CAF San Ignacio,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_41,BSIST000060,003-206-07,UMF Sebastián Vizcaíno,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_42,BSIST000330,003-207-00,HG La Paz,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_43,BSIST000270,003-207-02,CAF El Pescadero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_44,BSIST000265,003-207-03,"CAF UH. FOVISSSTE Catra, La Paz.",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_45,BSIST000294,003-207-04,CAF La Ribera,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_46,BSIST000241,003-207-05,CAF Los Barriles,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_47,BSIST000306,003-207-06,CAF San Antonio,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_48,BSIST000282,003-207-07,CAF Miraflores,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_49,BSIST000236,003-207-09,CAF San Juan de los Planes,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_50,BSIST000311,003-207-10,CAF Santiago,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_51,BSIST000084,003-207-11,UMF Todos Santos,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_52,BSIST000224,003-207-12,"CAF UH. FOVISSSTE Cihuatán Costa Azul, La Paz",Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_53,BSIST000253,003-207-13,CAF Las Pocitas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_54,BSIST000101,003-208-00,CH San José del Cabo,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_55,BSIST000321,003-209-00,CMF La Paz,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_56,BSIST000352,003-211-00,CH Cabo San Lucas,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_57,CCIST000021,004-204-00,"CH Dr. Patricio Trueba Regil, Camp.",Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_58,CCIST000016,004-204-01,UMF Calkiní,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_59,CCIST000086,004-204-02,CAF Candelaria,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_60,CCIST000045,004-204-03,UMF Champotón,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_61,CCIST000074,004-204-04,UMF Escárcega,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,Sí
U_ISSSTE_62,CCIST000050,004-204-05,UMF Hecelchakán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_63,CCIST000062,004-204-06,UMF Hopelchén,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_64,CCIST000091,004-204-07,CAF Seybaplaya,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_65,CCIST000115,004-204-08,CAF Tenabo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_66,CCIST000033,004-205-00,CH Cd. del Carmen,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_67,CCIST000103,004-205-01,CAF Palizada,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_68,CLIST000065,005-206-00,CH Monclova,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_69,CLIST000210,005-206-01,CAF Castaños,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_70,CLIST000036,005-206-02,UMF Cuatrociénegas de Carranza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_71,CLIST000321,005-206-03,CAF La Esmeralda,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_72,CLIST000251,005-206-04,CAF Ocampo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_73,CLIST000304,005-206-05,CAF San Buenaventura,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_74,CLIST000094,005-207-00,CH Piedras Negras,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_75,CLIST000024,005-207-01,UMF Cd. Allende,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_76,CLIST000135,005-207-03,UMF Zaragoza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_77,CLIST000012,005-208-00,CMF Cd. Acuña,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_78,CLIST000193,005-209-00,"CH Dr. Francisco Z Cruz, Nueva Rosita",Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_79,CLIST000070,005-209-01,UMF Cd. Melchor Muzquiz,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
