id_unidad,clues,clave_presupuestal,situacion_juridica_inmueble,estatus_operativo,nombre_oficial,nombre_corto,nombre_unidad,tipo_unidad,sigla_tipo,nivel_atencion,atiende_nivel_adicional,institucion,entidad,municipio,subdelegacion,tipo_vialidad,nombre_vialidad,numero_exterior,numero_interior,tipo_asentamiento,nombre_asentamiento,codigo_postal,direccion_completa,latitud,longitud,coordenadas_validadas,fuente_coordenada,Observaciones
U_ISSSTE_12,BCIST000040,002-204-00,Propia,En Operación,"Hospital General 5 de Diciembre, Mexicali","HG 5 de Diciembre, Mexicali","5 de Diciembre, Mexicali",Hospital General,HG,Segundo Nivel,No Aplica,ISSSTE,Baja California,Mexicali,Baja California,Calzada,Independencia,940,,Colonia,Centro Cívica,21000,"Calzada Independencia 940, Colonia Centro Cívica, Mexicali, Baja California, CP. 21000",32.643478679988995,-115.47647608690527,Validada,Anuario Estadístico 2025,
U_ISSSTE_13,BCIST000076,002-204-01,Propia,En Operación,Unidad de Medicina Familiar Los Algodones,UMF Los Algodones,Los Algodones,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California,Mexicali,Baja California,Calle,Venustiano Carranza,S/N,,Ejido,Los Algodones,21970,"Calle Venustiano Carranza S/N, Ejido Los Algodones, Mexicali, Baja California, CP. 21970",32.713714581281614,-114.7316772725118,Validada,Anuario Estadístico 2025,
U_ISSSTE_14,BCIST000052,002-204-02,Convenio,En Operación,Consultorio de Atención Familiar Estación Delta,CAF Estación Delta,Estación Delta,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California,Mexicali,Baja California,Avenida,Sánchez Taboada,S/N,,Ejido,Estación Delta,21700,"Avenida Sánchez Taboada S/N, Ejido Estación Delta, Mexicali, Baja California, CP. 21700",32.35604649085054,-115.19764446281873,Validada,Anuario Estadístico 2025,
U_ISSSTE_15,BCIST000064,002-204-03,Propia,En Operación,Unidad de Medicina Familiar San Felipe,UMF San Felipe,San Felipe,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California,Mexicali,Baja California,Calle,Playa Azul,S/N,,Campo,Las Arenas,21850,"Calle Playa Azul S/N, Campo Las Arenas, Mexicali, Baja California, CP. 21850",31.013173472539723,-114.84399741457933,Validada,Anuario Estadístico 2025,Google Maps no disponible en la zona
U_ISSSTE_16,BCIST000011,002-206-00,Propia,En Operación,Clínica Hospital Ensenada,CH Ensenada,Ensenada,Clínica Hospital,CH,Segundo Nivel,Primer Nivel,ISSSTE,Baja California,Ensenada,Baja California,Avenida,Gral. Agustín Sanginés,S/N,,Colonia,Carlos Pacheco,22890,"Avenida Gral. Agustín Sanginés S/N, Colonia Carlos Pacheco, Ensenada, Baja California, CP. 22890",31.850423248917203,-116.60773671490034,Validada,Anuario Estadístico 2025,
U_ISSSTE_17,BCIST000023,002-206-02,En Proceso de Regularización,En Operación,Consultorio de Atención Familiar Isla de Cedros,CAF Isla de Cedros,Isla de Cedros,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California,Ensenada,Baja California,Calle,Mutualismo,S/N,,Ejido,Isla de Cedros,22906,"Calle Mutualismo S/N, Ejido Isla de Cedros, Ensenada, Baja California, CP. 22906",28.097931602644195,-115.1906412343164,Validada,Anuario Estadístico 2025,Google Maps no disponible en la zona
U_ISSSTE_18,BCIST000035,002-206-03,Propia,En Operación,Unidad de Medicina Familiar San Quintín,UMF San Quintín,San Quintín,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California,San Quintín,Baja California,Calle,Novena,137,,Fraccionamiento,San Quintín,22940,"Calle Novena 137, Fraccionamiento San Quintín, San Quintín, Baja California, CP. 22940",30.55707205758731,-115.93845153054774,Validada,Anuario Estadístico 2025,
U_ISSSTE_19,BCIST000105,002-206-04,Subrogada,En Operación,Consultorio de Atención Familiar San Vicente,CAF San Vicente,San Vicente,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California,Ensenada,Baja California,Calle,Séptima,8,,Ejido,San Vicente,22900,"Calle Séptima 8, Ejido San Vicente, Ensenada, Baja California, CP. 22900",31.329130565197854,-116.24607803664111,Validada,Anuario Estadístico 2025,Google Maps no disponible en la zona
U_ISSSTE_20,BCIST000110,002-206-05,Subrogada,En Operación,Consultorio de Atención Familiar Valle de la Trinidad,CAF Valle de la Trinidad,Valle de la Trinidad,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California,Ensenada,Baja California,Calle,Pedro Moreno,S/N,,Ejido,San Francisco R. Serrano,22797,"Calle Pedro Moreno S/N, Ejido San Francisco R. Serrano, Ensenada, Baja California, CP. 22797",31.33079994355395,-115.53906615336248,Validada,Anuario Estadístico 2025,
U_ISSSTE_21,BCIST000122,002-206-08,Subrogada,En Operación,Consultorio de Atención Familiar El Rosario,CAF El Rosario,El Rosario,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California,Ensenada,Baja California,Carretera,Transpeninsular,Km. 57,,Ejido,El Rosario de Arriba,22960,"Carretera Transpeninsular Km. 57, Ejido El Rosario de Arriba, Ensenada, Baja California, CP. 22960",30.06052197977306,-115.72369975998505,Validada,Anuario Estadístico 2025,
